Timestamp,ID,Data Centre,Category,Duty,Party (JSON),[Practice],[Loot],[Duty Completion],[One Player per Job]
2025-05-12 11:15:00,116268,Gaia,DutyRoulette,Duty Roulette: Leveling,"[{""filled"": true, ""role"": ""tank"", ""job"": ""PLD""}, {""filled"": true, ""role"": ""dps"", ""job"": ""BLM""}, {""filled"": false, ""role"": ""tank"", ""job"": ""GLA MRD CNJ PLD WAR WHM SCH DRK AST GNB SGE""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}]",0,0,0,0
2025-05-12 11:15:00,71210,Meteor,DutyRoulette,Duty Roulette: Main Scenario,"[{""filled"": true, ""role"": ""healer"", ""job"": ""AST""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM SCH AST SGE""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM SCH AST SGE""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM SCH AST SGE""}]",0,0,0,0
2025-05-12 11:15:00,56370,Crystal,Dungeons,The Lunar Subterrane,"[{""filled"": true, ""role"": ""tank"", ""job"": ""DRK""}, {""filled"": true, ""role"": ""dps"", ""job"": ""BLM""}, {""filled"": false, ""role"": ""unknown"", ""job"": ""GLA PGL MRD LNC ARC CNJ THM PLD MNK WAR DRG BRD WHM BLM ACN SMN SCH ROG NIN MCH DRK AST SAM RDM BLU GNB DNC RPR SGE VPR PCT""}, {""filled"": false, ""role"": ""unknown"", ""job"": ""GLA PGL MRD LNC ARC CNJ THM PLD MNK WAR DRG BRD WHM BLM ACN SMN SCH ROG NIN MCH DRK AST SAM RDM BLU GNB DNC RPR SGE VPR PCT""}]",0,1,0,0
2025-05-12 11:15:00,116157,Gaia,Trials,The Crown of the Immaculate (Extreme),"[{""filled"": true, ""role"": ""tank"", ""job"": ""GNB""}, {""filled"": true, ""role"": ""healer"", ""job"": ""SCH""}, {""filled"": true, ""role"": ""tank"", ""job"": ""DRK""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM AST""}, {""filled"": true, ""role"": ""dps"", ""job"": ""DRG""}, {""filled"": false, ""role"": ""dps"", ""job"": ""MNK DRG NIN SAM RPR VPR""}, {""filled"": true, ""role"": ""dps"", ""job"": ""DNC""}, {""filled"": true, ""role"": ""dps"", ""job"": ""SMN""}]",0,0,0,1
2025-05-12 11:15:00,53307,Elemental,Trials,The Minstrel's Ballad: Sphene's Burden,"[{""filled"": true, ""role"": ""dps"", ""job"": ""SMN""}, {""filled"": false, ""role"": ""tank"", ""job"": ""GLA MRD PLD WAR DRK GNB""}, {""filled"": false, ""role"": ""tank"", ""job"": ""GLA MRD PLD WAR DRK GNB""}, {""filled"": true, ""role"": ""healer"", ""job"": ""SGE""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM SCH AST SGE""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}]",1,0,0,0
2025-05-12 11:15:00,403713,Mana,Trials,The Minstrel's Ballad: Sphene's Burden,"[{""filled"": true, ""role"": ""dps"", ""job"": ""VPR""}, {""filled"": true, ""role"": ""tank"", ""job"": ""DRK""}, {""filled"": true, ""role"": ""tank"", ""job"": ""PLD""}, {""filled"": false, ""role"": ""healer"", ""job"": ""WHM AST""}, {""filled"": false, ""role"": ""healer"", ""job"": ""SCH SGE""}, {""filled"": false, ""role"": ""dps"", ""job"": ""MNK DRG BLM SMN NIN SAM RDM BLU RPR VPR PCT""}, {""filled"": false, ""role"": ""dps"", ""job"": ""BLM SMN RDM BLU PCT""}, {""filled"": false, ""role"": ""dps"", ""job"": ""BRD MCH DNC""}]",0,1,0,1
2025-05-12 11:15:00,116223,Gaia,Trials,The Minstrel's Ballad: Zodiark's Fall,"[{""filled"": true, ""role"": ""tank"", ""job"": ""PLD""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM BLU DNC RPR VPR PCT""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM SCH AST SGE""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM SCH AST SGE""}, {""filled"": true, ""role"": ""dps"", ""job"": ""SMN""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}]",0,0,0,0
2025-05-12 11:15:00,116167,Gaia,Trials,The Minstrel's Ballad: Sphene's Burden,"[{""filled"": true, ""role"": ""healer"", ""job"": ""SGE""}, {""filled"": true, ""role"": ""healer"", ""job"": ""AST""}, {""filled"": true, ""role"": ""dps"", ""job"": ""MCH""}, {""filled"": true, ""role"": ""dps"", ""job"": ""MNK""}, {""filled"": true, ""role"": ""dps"", ""job"": ""NIN""}, {""filled"": true, ""role"": ""dps"", ""job"": ""RDM""}, {""filled"": true, ""role"": ""tank"", ""job"": ""PLD""}, {""filled"": false, ""role"": ""tank"", ""job"": ""GLA MRD PLD WAR DRK GNB""}]",0,1,0,1
2025-05-12 11:15:00,169896,Aether,Trials,Everkeep (Extreme),"[{""filled"": true, ""role"": ""tank"", ""job"": ""DRK""}, {""filled"": false, ""role"": ""tank"", ""job"": ""GLA MRD PLD WAR DRK GNB""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM SCH AST SGE""}, {""filled"": false, ""role"": ""healer"", ""job"": ""CNJ WHM SCH AST SGE""}, {""filled"": true, ""role"": ""dps"", ""job"": ""RDM""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}, {""filled"": false, ""role"": ""dps"", ""job"": ""PGL LNC ARC THM MNK DRG BRD BLM ACN SMN ROG NIN MCH SAM RDM DNC RPR VPR PCT""}]",0,1,0,1
2025-05-12 11:15:00,71157,Meteor,Trials,The Minstrel's Ballad: Sphene's Burden,"[{""filled"": true, ""role"": ""healer"", ""job"": ""WHM""}, {""filled"": true, ""role"": ""tank"", ""job"": ""GNB""}, {""filled"": false, ""role"": ""tank"", ""job"": ""PLD WAR DRK GNB""}, {""filled"": true, ""role"": ""healer"", ""job"": ""SCH""}, {""filled"": true, ""role"": ""dps"", ""job"": ""VPR""}, {""filled"": true, ""role"": ""dps"", ""job"": ""VPR""}, {""filled"": true, ""role"": ""dps"", ""job"": ""RDM""}, {""filled"": false, ""role"": ""dps"", ""job"": ""BRD BLM SMN MCH RDM DNC PCT""}]",0,1,0,0
